Fecha,WTI,JPM_Dollar_Index,BBDXY_Index,DXY_Index,VIX_Index,OPEP_TOTPROD,OPEP_TOTDEM,TBILL_10YR,TBILL_1YR
ago-15,45.09,67.375,1213.83,96.35,24.5,32017,96.5,2.17,0.38
sep-15,46.59,68.371,1209.83,96.946,15.07,32034,96.6,2.17,0.37
oct-15,41.65,67.068,1237.85,100.17,16.13,32001,95.2,2.07,0.26
nov-15,37.04,65.638,1232.59,98.631,18.21,32945,97.7,2.26,0.48
dic-15,33.62,64.465,1252.04,99.606,20.2,32839,95.1,2.24,0.65
ene-16,33.75,64.839,1229.6,98.211,20.55,32596,97.7,2.09,0.54
feb-16,38.34,68.553,1182.28,94.586,13.95,32343,96.2,1.78,0.53
mar-16,45.92,69.545,1159.42,93.082,15.7,32710,96.1,1.89,0.66
abr-16,49.1,66.735,1202.31,95.891,14.19,32520,94.9,1.81,0.56
may-16,48.33,68.557,1185.47,96.143,15.63,33110,97.6,1.81,0.59
jun-16,41.6,68.425,1180.81,95.53,11.87,33570,96.1,1.64,0.55
jul-16,44.7,67.987,1187.91,96.022,13.42,33580,98.9,1.50,0.51
ago-16,48.24,68.503,1182.79,95.463,13.29,33850,96.7,1.56,0.57
sep-16,46.86,68.502,1208.25,98.445,17.06,33960,97.1,1.63,0.59
oct-16,49.44,65.502,1255.53,101.5,13.33,34140,97.1,1.76,0.66
nov-16,53.72,66.012,1267.38,102.21,14.04,33140,98.2,2.14,0.74
dic-16,52.81,66.748,1234.36,99.512,11.99,32230,96.3,2.49,0.87
ene-17,54.01,67.758,1239.43,101.12,12.92,32295,97.6,2.43,0.83
feb-17,50.6,68.16,1223.05,100.35,12.37,31935,97.7,2.42,0.82
mar-17,49.33,68.213,1216.6,99.05,10.82,31895,96.6,2.48,1.01
abr-17,48.32,68.608,1198.69,96.922,10.41,32290,97.9,2.30,1.04
may-17,46.04,68.729,1183.8,95.628,11.18,32660,100.5,2.30,1.12
jun-17,50.17,69.793,1153.4,92.863,10.26,32850,98,2.19,1.20
jul-17,47.23,70.566,1152.94,92.668,10.59,32710,99.6,2.32,1.22
ago-17,51.67,69.557,1160.43,93.076,9.51,32770,99.1,2.21,1.23
sep-17,54.38,68.236,1180.83,94.552,10.18,32550,99.5,2.20,1.28
oct-17,57.4,68.67,1163.55,93.047,11.28,32470,100,2.36,1.40
nov-17,60.42,69.711,1159.44,92.124,11.04,32380,98.8,2.35,1.56
dic-17,64.73,71.676,1119.67,89.133,13.54,32360,98.7,2.40,1.70
ene-18,61.64,70.977,1135.52,90.613,19.85,32210,99.6,2.58,1.80
feb-18,64.94,70.709,1124.77,89.974,19.97,31970,98.8,2.86,1.96
mar-18,68.57,68.691,1146.73,91.841,15.93,31900,98.1,2.84,2.06
abr-18,67.04,66.225,1170.66,93.979,15.43,31800,98.2,2.87,2.15
may-18,74.15,64.595,1181.2,94.47,16.09,32300,100.6,2.98,2.27
jun-18,68.76,65.203,1174.63,94.554,12.83,32320,100.5,2.91,2.33
jul-18,69.8,60.911,1182.43,95.14,12.86,32800,101.3,2.89,2.39
ago-18,73.25,62.178,1183.18,95.132,12.12,32900,99.4,2.89,2.45
sep-18,65.31,61.434,1210.45,97.127,21.23,33330,100.8,3.00,2.56
oct-18,,,,,,,,3.15,2.65
nov-18,,,,,,,,,
